priority,merchant,keyword,category,subcategory,regex
99,肯德基|kfc|百胜餐饮,,餐饮,正餐,0
98,麦当劳|mcdonald,,餐饮,正餐,0
97,茶百道|starbucks,,餐饮,咖啡奶茶,0
96,喜茶|heytea,,餐饮,咖啡奶茶,0
96,luckin,,餐饮,咖啡奶茶,0
96,餐饮|蹄花汤|私房菜,,餐饮,正餐,0
96,东南大学|米线|卤味,,餐饮,正餐,0
96,烤肉|山石榴|四道菜|太阳城|景枫,,餐饮,正餐,0
96,,烤肉|山石榴|四道菜|太阳城|景枫,餐饮,正餐,0
96,火锅|餐厅,,餐饮,正餐,0
96,烧烤|乡村基,,餐饮,正餐,0
96,小吃|饭店|手抓饼,,餐饮,正餐,0
95,奈雪|奈雪的茶,,餐饮,咖啡奶茶,0
92,蜜雪冰城,,餐饮,奶茶,0
90,美团|饿了么,,餐饮,外卖,0
85,真功夫|永和大王|汉堡王|必胜客,,餐饮,正餐,0
83,海底捞|外婆家|西贝|绿茶餐厅,,餐饮,正餐,0
82,^中国铁路|12306,,出行,火车,1
80,中铁|高铁|轮渡,,出行,火车,0
76,高德|滴滴|花小猪|t3出行,,出行,打车,0
72,一卡通|地铁|公交|交通卡|羊城通|武汉通|天府通,,出行,地铁,0
71,美宜佳|罗森|711|漫品茶生|超市|条马|便利|轻购云|24H|生鲜,,生活,,0
70,携程|飞猪|同程|去哪儿,,出行,机票酒店,0
69,华住|酒店|民宿|宾馆,,出行,机票酒店,0
65,京东,,购物,综合电商,0
64,拼多多,,购物,综合电商,0
63,淘宝|天猫,,购物,综合电商,0
62,顺丰,,快递,,0
60,京东,显卡|手机|相机|主机|电脑,购物,电子产品,0
58,移动,,话费,,0
57,,会员|包月,会员,,0
56,起点|qq|wps|腾讯,,会员,,0
55,,外卖|餐券|团购,餐饮,外卖,0
54,充电,,充电,,0
53,,充电,充电,,0
52,U净,,生活,洗衣,0
50,,医院|挂号|体检,医疗,就医,0
50,医院|挂号|体检,,医疗,就医,0
45,,药房|药店,医疗,药品,0
43,店,,餐饮,正餐,0
42,,店,餐饮,正餐,0
40,,电费|水费|燃气|天然气,住房,水电,1
39,,,消费,,0
